TRAIN,RNN_15,RNN_30,RNN_60,LSTM_15,LSTM_30,LSTM_60,SLSTM_15,SLSTM_30,SLSTM_60,BLSTM_15,BLSTM_30,BLSTM_60,GRU_15,GRU_30,GRU_60,
Sam_1,,,,,,,,,,,,,,,,인슐 탄수 X
Sam_3,,,,,,,,,,,,,,,,인슐 탄수 X
Sam_4,9.428438,15.051023,25.677181,8.852757,14.107324,24.106108,9.398808,13.88336,23.595488,8.648683,13.950119,23.903667,9.143722,14.025006,24.409864,
Sam_5,12.215695,20.921339,31.974245,11.728846,20.028536,31.033674,11.134498,19.22192,30.887945,12.354498,19.418039,32.125183,11.65528,19.777685,30.978106,탄수 X
Sam_6,,,,,,,,,,,,,,,,인슐 탄수 X
Sam_7,,,,,,,,,,,,,,,,인슐 탄수 X
Sam_8,,,,,,,,,,,,,,,,인슐 탄수 X
Sam_9,,,,,,,,,,,,,,,,인슐 탄수 X
Sam_10,11.525348,16.823738,27.145586,9.97939,15.205173,26.667154,10.978465,16.122868,27.698189,9.686775,15.497682,27.420959,11.002789,16.623083,27.617962,
Sam_11,19.815229,28.874983,39.958046,19.654305,27.6021,39.138172,20.339256,26.730797,37.779392,19.275942,26.80628,36.91291,20.244556,28.788689,39.268608,인슐 탄수 0하고 제대로된 값하고 섞여있음
Sam_12,16.422085,27.991077,44.750767,15.510485,27.194605,41.937874,14.471724,27.528866,41.224327,14.803516,28.018295,42.858677,15.362704,27.752007,41.982498,인슐 탄수 0만 입력 되어있음 
Sam_13,10.797791,18.955109,31.617769,9.836576,16.600634,27.729172,9.706919,17.725786,28.185808,9.783949,17.552195,29.936121,9.893626,17.114744,29.120497,인슐 탄수 0만 입력 되어있음 
Sam_14,14.77762,26.267136,40.240208,13.862838,24.195049,39.086548,14.130182,23.553326,39.947742,13.72733,24.13924,40.60495,13.676888,23.319017,38.775692,인슐 탄수 0만 입력 되어있음 
Sam_15,15.083064,22.97016,31.371593,14.603551,22.197329,30.666412,14.432435,22.124861,29.940432,14.583712,22.525965,30.369061,14.931695,22.94911,31.209669,인슐 탄수 0하고 제대로된 값하고 섞여있음
Sam_16,10.408271,16.261202,23.162727,10.487943,15.361527,22.465473,10.205947,15.293762,21.610134,10.068085,16.058662,21.494349,10.41367,15.176636,22.250032,인슐 탄수 0하고 제대로된 값하고 섞여있음
Sam_17,16.888268,28.123199,43.909203,16.534878,27.510319,42.79401,16.468246,27.378256,42.11731,16.469505,27.327612,42.764236,16.572044,27.664627,43.838112,인슐 탄수 0만 입력 되어있음 
Sam_18,18.234907,28.936943,45.020622,18.440252,29.829525,43.835514,17.557518,29.644196,43.276077,20.061937,28.197575,41.746796,17.826527,29.263252,46.452332,인슐 탄수 0만 입력 되어있음 
Sam_19,11.695985,19.81881,32.586884,10.996203,17.382553,29.643709,10.535848,16.177984,27.91573,11.362851,16.007816,27.705729,9.708731,18.662199,29.214251,인슐 탄수 0만 입력 되어있음 
Sam_20,,,,,,,,,,,,,,,,데이터 너무 적음 
21_Sam,17.764038,29.43281,44.638672,16.460159,25.241924,39.636105,17.108303,28.246346,42.304859,16.154726,26.518726,44.140518,15.939392,28.499943,40.622776,495/인슐 탄수 0하고 제대로된 값하고 섞여있음 / 마지막 인덱스 삭제
22_Sam,15.330974,22.585112,30.515638,14.763566,21.795258,29.695137,14.576525,22.246317,30.107813,14.699362,21.974562,29.404205,14.800139,22.02261,31.146507,1965/인슐 탄수 0만 입력 되어있음 
23_Sam,9.669432,14.526126,19.376446,9.314088,14.064159,19.439123,9.242632,13.69789,20.285837,9.098094,13.964866,19.041082,9.321158,13.837446,19.165043,1398/인슐 탄수 0하고 제대로된 값하고 섞여있음
24_Sam,,,,,,,,,,,,,,,,553/인슐린 X 탄수화물만 (2번)
25_Sam,6.288991,10.372897,16.225008,6.076378,9.682254,16.038401,5.843971,9.571629,15.460448,5.789177,9.650227,15.422998,6.015368,9.777785,15.93978,2055/인슐 탄수 0하고 제대로된 값하고 섞여있음
26_Sam,11.91466,18.864698,27.059052,11.965898,18.638012,26.042419,10.788688,20.213188,25.301321,11.301533,18.656055,24.297617,11.597969,18.893785,25.654776,1143/인슐 탄수 0만 입력 되어있음
27_Sam,12.839442,17.078932,24.338377,12.814321,17.594818,23.284456,12.191437,16.488054,23.378239,12.088517,16.671873,22.806623,12.451501,17.590126,24.939053,2010/인슐 탄수 0만 입력 되어있음
28_Sam,11.504336,20.239225,27.730089,11.097907,19.199989,26.666594,11.068571,18.30596,26.248617,11.170038,18.480038,26.709904,11.330943,19.548342,26.449253,2168/인슐 탄수 0하고 제대로된 값하고 섞여있음
