TRAIN,15MIN,30MIN,60MIN,sample_size
1_Sam,11.35125056,17.66305704,27.2271943,1055
3_Sam,12.85261278,21.52008885,35.25033627,1337
4_Sam,11.32517368,18.0767156,29.00865743,1987
5_Sam,13.47872754,22.6964783,35.77023764,2037
6_Sam,,,,
7_Sam,,,,
8_Sam,,,,
9_Sam,,,,
10_Sam,,,,
11_Sam,,,,
12_Sam,,,,
13_Sam,,,,
14_Sam,,,,
15_Sam,,,,
16_Sam,,,,
17_Sam,,,,
18_Sam,,,,
19_Sam,,,,
20_Sam,,,,
21_Sam,,,,
22_Sam,,,,
23_Sam,,,,
24_Sam,,,,
25_Sam,,,,
26_Sam,,,,
27_Sam,,,,
28_Sam,,,,
29_Sam,,,,
30_Sam,,,,
31_Sam,,,,
32_Sam,,,,
33_Sam,,,,
34_Sam,,,,
35_Sam,,,,
36_Sam,,,,
37_Sam,,,,
38_Sam,,,,
39_Sam,,,,
40_Sam,,,,
41_Sam,,,,
42_Sam,,,,
PASS,,,,
44_Sam,,,,
PASS,,,,
46_Sam,,,,
47_Sam,,,,
48_Sam,,,,
49_Sam,,,,
50_Sam,,,,
51_Sam,,,,
52_Sam,,,,
53_Sam,,,,
54_Sam,,,,
55_Sam,,,,
RMSE,,,,
