TRAIN,15MIN,30MIN,60MIN,sample_size
1_Sam,11.35125056,17.66305704,27.2271943,1055
3_Sam,12.85261278,21.52008885,35.25033627,1337
4_Sam,11.32517368,18.0767156,29.00865743,1987
5_Sam,13.47872754,22.6964783,35.77023764,2037
6_Sam,16.88024825,29.09658818,47.39635539,2148
7_Sam,10.41775701,15.30699962,19.43489784,1686
8_Sam,20.23149646,34.77936344,53.66970368,1318
9_Sam,7.255864573,9.754528894,14.44378465,1970
10_Sam,10.72560502,16.92717968,26.98689088,778
11_Sam,19.82684003,28.68654149,41.05931317,1077
12_Sam,18.7461624,32.25967378,52.70372385,1413
13_Sam,11.99437584,20.62807071,33.7853493,827
14_Sam,16.47036255,27.32765562,43.2223181,1126
15_Sam,15.89643985,24.22639882,34.86844992,1787
16_Sam,10.65669553,16.26198412,23.63702131,1075
17_Sam,18.81006054,30.89631364,47.29728346,1990
18_Sam,19.76373473,32.67318586,51.69098486,1426
19_Sam,13.72340222,24.25245418,38.97091729,913
20_Sam,,,,
21_Sam,18.25208356,29.60436918,44.81578761,475
22_Sam,16.02405599,24.13238181,34.0700368,1929
23_Sam,10.1832067,15.00467152,22.13606176,1367
24_Sam,12.4578655,20.95213744,31.47922806,553
25_Sam,6.598455468,10.95331082,17.68660074,2055
26_Sam,11.08167937,17.6177471,25.65470878,1106
27_Sam,12.38488571,17.03040537,24.74861317,1977
28_Sam,12.76020889,20.92619647,31.08197024,2107
29_Sam,15.84577398,25.55107535,43.92520149,662
30_Sam,14.96551326,25.83551329,42.14958021,1198
31_Sam,14.54236441,25.09988104,40.9624518,1420
32_Sam,16.36815642,26.37708032,41.49242729,1952
33_Sam,12.4277726,21.02481067,33.68429358,1373
34_Sam,20.07802601,32.30394458,50.2567641,1259
35_Sam,18.85942966,29.85032852,44.31451088,2002
36_Sam,14.69026737,26.83127755,46.12658757,1662
37_Sam,9.853027604,16.22903965,24.98679538,2018
38_Sam,15.98022812,25.3697142,38.07994564,1442
39_Sam,16.52470877,29.94646891,50.86490932,1429
40_Sam,13.15099533,20.66331977,32.71300577,1838
41_Sam,10.83009648,16.1078804,23.53234049,1935
42_Sam,17.16516942,30.0118748,49.06104182,1109
PASS,,,,
44_Sam,18.11251911,22.25810138,30.39671705,1264
PASS,,,,
46_Sam,13.33490208,22.15548298,35.77337601,1997
47_Sam,13.95585151,24.01237261,38.84002055,2014
48_Sam,13.47973958,23.78115176,38.99197633,1142
49_Sam,18.66799262,30.22517611,44.89571038,1889
50_Sam,15.80982403,27.04248436,46.02384772,1734
51_Sam,12.94388423,22.5642514,36.04058855,1975
52_Sam,15.66973326,26.62840724,42.92309276,1269
53_Sam,14.19439017,24.45622262,39.793346,964
54_Sam,15.12804441,27.21646425,44.05759467,1397
55_Sam,13.37127604,23.59141411,39.56464704,1942
RMSE,,,,
ЦђБе,14.43331249,23.6154556,37.01072939,1498.137255
