TRAIN,RNN_15,RNN_30,RNN_60,LSTM_15,LSTM_30,LSTM_60,SLSTM_15,SLSTM_30,SLSTM_60,BLSTM_15,BLSTM_30,BLSTM_60,GRU_15,GRU_30,GRU_60,
1_Sam,10.777896,16.884422,26.061949,9.883951,15.514004,22.68562,9.596241,15.961088,23.162757,10.568643,15.432405,24.991287,10.818639,16.37565,23.526114,인슐 탄수 X
3_Sam,11.291516,19.85695,34.731615,17.865409,21.025206,34.362909,11.918298,19.827317,34.490443,11.96543,21.500887,35.606607,11.672977,20.184643,34.326333,인슐 탄수 X
4_Sam,9.363686,15.568055,26.577163,9.148499,14.380306,25.146244,9.55501,14.013715,24.142838,9.127962,14.432273,24.961657,9.239625,14.427715,24.908873,
5_Sam,11.611035,19.834905,31.695736,11.971885,19.039282,31.680917,10.733328,18.342619,30.627319,11.34631,19.425191,31.766613,11.110816,19.414202,31.592795,탄수 X
6_Sam,13.835074,25.059207,41.569967,14.536712,24.453875,41.544294,12.663909,22.046549,38.847971,12.95574,24.243632,40.235952,13.506471,24.570043,41.533738,인슐 탄수 X
7_Sam,9.351964,13.586809,17.380027,8.959878,13.702406,18.664283,8.378665,13.206454,17.34431,10.012211,13.89153,18.057333,9.962782,14.464525,17.351307,인슐 탄수 X
8_Sam,17.391111,31.756743,49.040671,17.363098,29.934589,47.228413,15.871634,29.776473,47.771865,14.953516,31.177918,47.776258,17.266406,29.895535,49.139968,인슐 탄수 X
9_Sam,7.368083,9.52997,13.867508,7.056886,9.687022,14.369081,7.821021,10.12532,13.774436,7.205786,10.09497,13.906913,7.064746,9.970531,14.439022,인슐 탄수 X
10_Sam,12.184637,16.431443,27.944807,13.0822,17.232796,26.837357,10.081583,16.317141,31.242505,10.289203,16.742092,23.836798,11.771862,17.855922,27.8998,
11_Sam,19.5454,29.035688,40.728886,19.814992,28.278663,38.794058,20.113972,29.482165,39.589498,20.446653,28.376394,39.350632,19.940365,29.431542,38.109099,인슐 탄수 0하고 제대로된 값하고 섞여있음
12_Sam,16.396702,28.26949,46.594311,15.247252,28.041909,43.609547,15.13329,31.054958,44.698703,15.5282,29.98592,45.458155,14.401931,26.508343,45.696313,인슐 탄수 0만 입력 되어있음 
13_Sam,10.929214,19.917994,33.430015,10.220593,16.757936,27.290291,10.951915,16.398502,28.611607,9.863392,18.032487,36.236016,9.657444,17.153568,29.170919,인슐 탄수 0만 입력 되어있음 
14_Sam,14.618184,24.911499,39.201476,14.192093,24.223996,38.092841,13.742117,22.35359,36.360964,15.032744,23.284144,36.335359,13.826692,23.810749,36.94891,인슐 탄수 0만 입력 되어있음 
15_Sam,15.264728,23.715862,34.050149,14.847157,22.607857,32.054796,14.560238,23.450836,32.048459,15.120732,22.659483,32.238609,15.33308,24.108971,32.208094,인슐 탄수 0하고 제대로된 값하고 섞여있음
16_Sam,10.68409,16.107884,23.579308,11.722414,15.488811,22.296038,10.61118,16.349594,22.263528,12.466704,15.55766,22.801858,10.642781,15.31099,22.716231,인슐 탄수 0하고 제대로된 값하고 섞여있음
17_Sam,16.826073,28.304377,43.049329,17.830134,27.170727,42.858588,16.404082,27.597263,46.563035,18.097236,28.606679,42.613471,16.769639,27.337256,43.588082,인슐 탄수 0만 입력 되어있음 
18_Sam,18.23319,29.954762,47.540391,17.976266,29.037399,47.252081,17.575337,30.364808,46.841765,17.76853,29.454168,48.059806,17.96817,30.033198,46.130036,인슐 탄수 0만 입력 되어있음 
19_Sam,10.559792,20.441959,32.468433,10.542487,17.877678,29.608485,10.125503,18.361444,28.820439,9.431992,18.527445,30.404926,9.503063,17.761654,31.40565,인슐 탄수 0만 입력 되어있음 
20_Sam,,,,,,,,,,,,,,,,데이터 너무 적음 
21_Sam,18.369771,30.139271,45.753443,16.813692,32.081563,43.572643,16.744424,29.416708,43.117554,19.708399,28.958026,43.224011,16.246674,26.48706,41.919367,495/인슐 탄수 0하고 제대로된 값하고 섞여있음 / 마지막 인덱스 삭제
22_Sam,15.439167,21.792404,29.57928,15.327139,21.242295,28.265066,14.59034,21.167144,28.69753,14.838268,21.567439,28.410602,15.073631,21.491851,28.852827,1965/인슐 탄수 0만 입력 되어있음 
23_Sam,9.7333,14.530892,20.161084,9.162872,13.540899,18.896672,9.108476,13.797697,18.435871,9.09407,13.639618,18.536284,9.260999,13.6628,18.443101,1398/인슐 탄수 0하고 제대로된 값하고 섞여있음
24_Sam,11.157892,18.877096,28.553739,9.11194,16.225876,23.660345,10.278763,15.857754,23.952948,9.127227,16.50802,23.327599,10.278434,16.340161,23.435205,553/인슐린 X 탄수화물만 (2번)
25_Sam,5.96906,9.995732,16.39921,5.823485,10.270406,16.075984,6.430808,9.693439,16.112147,5.787981,9.806833,16.302961,5.922359,10.027218,16.209934,2055/인슐 탄수 0하고 제대로된 값하고 섞여있음
26_Sam,11.31842,17.54917,25.59143,11.534232,16.829545,24.758849,12.785931,16.981992,25.299375,12.002254,17.993929,25.307957,11.568205,17.511164,25.021588,1143/인슐 탄수 0만 입력 되어있음
27_Sam,11.790439,16.505271,23.585669,11.650772,16.815956,23.728392,11.289406,16.515715,24.405135,12.257516,15.918291,23.236108,12.23671417.26240724.467551,,,2010/인슐 탄수 0만 입력 되어있음
28_Sam,11.421534,19.162999,28.406565,11.015885,18.032103,27.978245,11.243011,17.992151,26.681221,11.06647,18.58242,27.841094,11.268924,18.275375,28.324131,2168/인슐 탄수 0하고 제대로된 값하고 섞여있음
29_Sam,14.240433,22.06848,38.634738,15.573804,20.319965,36.292035,14.341131,20.077603,31.685704,14.248472,21.754634,39.555463,13.282291,21.747417,38.376338,685/인슐 탄수 0만 입력 되어있음
30_Sam,12.198232,21.606726,36.630183,11.080924,19.815348,33.791189,11.308142,19.623246,32.460288,12.755908,19.82354,34.532076,11.565443,19.90962,33.548863,1242/인슐 탄수 0만 입력 되어있음
31_Sam,12.937121,22.539993,38.74002,13.445858,22.565664,37.224179,12.267219,20.882234,35.619547,12.300171,20.934009,39.136947,11.659196,20.414196,35.781781,1453/인슐 탄수 0만 입력 되어있음
32_Sam,14.545557,24.203172,38.976895,14.056041,23.181113,37.49728,13.630191,23.158594,35.962495,14.978055,23.81448,37.520764,13.961027,23.52332,37.557521,2003/인슐 탄수 0하고 제대로된 값하고 섞여있음
33_Sam,10.977335,19.22277,32.077901,10.643053,18.804788,31.072331,12.759738,19.407954,29.293603,13.723327,19.432376,30.915022,11.414352,20.062194,30.396707,1415/인슐 탄수 0하고 제대로된 값하고 섞여있음
34_Sam,19.122727,29.713448,44.402945,16.621654,28.085124,42.181399,17.759818,27.566922,41.769389,17.260973,29.617453,45.889055,17.721068,29.066613,41.946629,1295/인슐 탄수 0만 입력 되어있음
35_Sam,17.490882,28.190825,38.036895,17.327407,26.801259,43.079528,17.017017,25.836787,36.523866,17.019653,26.478964,37.276023,16.919175,26.295235,39.637699,2014/인슐 X 탄수화물만 (2번)
36_Sam,10.74672,21.93113,37.279296,10.36954,20.658685,35.604294,10.100933,20.830039,35.777276,10.074772,21.396627,39.015576,11.000466,19.340833,36.514608,1710/인슐 탄수 0만 입력 되어있음
37_Sam,8.719515,15.68274,22.207041,8.946709,13.741699,21.927938,8.538282,13.379257,22.346775,8.506658,13.613554,22.242083,8.639558,14.340519,21.676353,2053/인슐 탄수 0만 입력 되어있음
38_Sam,15.028879,24.370237,36.420545,15.053495,23.539523,34.956145,15.000383,22.878624,34.434582,16.75174,23.073652,32.927151,14.374358,23.272618,33.168969,1485/인슐 탄수 0만 입력 되어있음
39_Sam,12.297872,24.126928,43.357301,11.914718,24.587913,43.621472,12.116076,22.881454,43.591772,12.477426,22.672109,42.614216,12.484554,23.114708,43.501603,1473/인슐 탄수 0만 입력 되어있음
40_Sam,12.568667,19.529845,31.298809,14.932197,18.800339,29.597664,12.52419,21.11913,30.232968,12.48264,19.773497,30.351422,12.26228,19.360164,30.164192,1874/인슐 탄수 0만 입력 되어있음/6/20
41_Sam,10.902181,15.894549,23.158563,10.92329,15.594379,22.735439,10.564336,15.520407,21.938047,10.832432,15.983865,22.196151,10.640668,15.629554,21.979945,1947/인슐 X 탄수화물만 (2번)
42_Sam,14.293351,25.667731,42.217279,13.609547,23.333982,41.542147,14.103986,23.112949,39.037249,14.540575,23.987337,40.165804,14.104866,24.310926,40.914279,1147/인슐 탄수 0만 입력 되어있음/15/13
PASS,,,,,,,,,,,,,,,,90/인슐 탄수 0만 입력 되어있음/2/1
44_Sam,8.476711,15.673589,25.413539,8.236936,15.367038,25.324213,8.350733,15.237209,25.315837,8.38228,15.070841,25.323322,8.663817,15.185015,25.323606,1307/인슐 탄수 0만 입력 되어있음/19/14
PASS,,,,,,,,,,,,,,,,24/인슐 탄수 0만 입력 되어있음/4/3/전부 교정
46_Sam,11.83684,19.953765,30.840387,13.31509,19.890156,30.3331,11.402429,20.204753,29.839907,11.896658,19.280741,30.49459,11.201401,19.225485,29.644784,2053/인슐 탄수 0만 입력 되어있음/22/24
47_Sam,11.838747,20.727601,35.149237,12.550732,22.602491,37.390125,10.818894,22.945185,35.193207,14.664034,20.461973,34.057818,11.694704,20.358539,36.803859,2054/인슐 탄수 0만 입력 되어있음/19/11
48_Sam,10.756907,21.068025,33.52257,9.480161,17.781219,30.930197,9.3856,17.107969,32.649022,10.018025,18.016426,31.591434,9.975151,17.650352,31.596556,1179/인슐 탄수 0만 입력 되어있음/11/16
49_Sam,17.173097,28.071526,41.119315,16.081883,26.721921,41.676745,16.050366,26.216773,40.137708,16.347508,26.42142,40.687211,16.499202,27.786099,40.261029,1924/인슐 탄수 0만 입력 되어있음/16/9
50_Sam,12.773308,21.097906,36.894925,11.541461,19.110587,35.096228,11.118261,20.347217,33.757036,11.112507,19.576875,35.010028,11.415695,19.627243,34.220088,1744/인슐 탄수 X
51_Sam,10.171203,19.786432,30.670793,9.852003,18.667077,30.882198,9.284447,18.363319,29.94592,9.776859,19.205736,30.317641,9.964047,18.632663,36.682706,2018/인슐 탄수 0하고 제대로된 값하고 섞여있음/22/11
52_Sam,13.0603,22.29395,36.978845,12.974374,22.351733,35.801092,12.479949,21.426362,35.815129,12.50561,21.590215,37.004826,12.672066,21.309742,35.316447,1305/인슐 탄수 0만 입력 되어있음/16/10
53_Sam,12.559481,22.948295,34.731482,12.611127,19.805914,31.761907,11.997389,19.940224,32.102817,12.687457,19.047013,32.916302,11.588722,20.168584,32.238813,997/인슐 탄수 0만 입력 되어있음/13/10
54_Sam,11.60722,21.972243,38.287741,9.620708,24.527725,38.322025,8.967785,18.406935,35.084182,10.393412,19.594497,35.402679,9.844498,18.834988,33.644793,1448인슐 탄수 0만 입력 되어있음/16/25
55_Sam,10.733623,19.196304,32.074008,9.412668,17.72568,31.509319,8.902615,16.915467,32.567557,9.353847,17.545297,31.249614,9.670611,17.242503,29.993642,1968/인슐 X 탄수화물만 (16번)
